scope,signal,rank_ic,t_stat,ir,hit_rate,n_days,avg_names,verdict
ВСЕ,exp_score,0.05443885092350787,2.993432314399356,0.14033427143153737,0.5714285714285714,455,182.2153846153846,СИЛЬНЫЙ
ВСЕ,prob_score,0.04044826700763611,2.3246992240346467,0.10898358059845517,0.5560439560439561,455,182.2153846153846,"СЛАБЫЙ, но значим"
ВСЕ,liq_score_n,0.001961758189433614,0.8419365571905352,0.039470594600238496,0.5208791208791209,455,182.2153846153846,ШУМ (|t| < 2)
ВСЕ,rs_score,-0.001999045480271839,-0.14723362636174925,-0.006902418867568472,0.47692307692307695,455,182.2153846153846,ШУМ (|t| < 2)
ВСЕ,regime_score,,,,,0,,н/д
ВСЕ,vol_score,-0.004270861815231641,-1.4046780523593432,-0.0940641997819998,0.4618834080717489,223,182.60089686098655,ШУМ (|t| < 2)
ВСЕ,final_score,0.026177919362719848,1.2969190937299255,0.060800504908278936,0.5098901098901099,455,182.2153846153846,ШУМ (|t| < 2)
intraday_long,exp_score,0.010743502351912116,1.214645143320819,0.057006121168213596,0.5374449339207048,454,45.563876651982376,ШУМ (|t| < 2)
intraday_long,prob_score,-0.004654589851174311,-0.5489485908253129,-0.02573510687924041,0.5010989010989011,455,45.55384615384615,ШУМ (|t| < 2)
intraday_long,liq_score_n,0.012379353910480536,1.3850313756500285,0.06493127239814249,0.5208791208791209,455,45.55384615384615,ШУМ (|t| < 2)
intraday_long,rs_score,0.011204904085695102,1.0643017175229421,0.04995015457994197,0.5,454,45.552863436123346,ШУМ (|t| < 2)
intraday_long,regime_score,,,,,0,,н/д
intraday_long,vol_score,0.017495272593602142,1.5520309840936064,0.10393168193268504,0.5336322869955157,223,45.65022421524664,ШУМ (|t| < 2)
intraday_long,final_score,0.015317951464554383,1.8285553855456358,0.08572399869153224,0.5428571428571428,455,45.55384615384615,ШУМ (|t| < 2)
intraday_short,exp_score,0.0067608448343017,0.7643162485334845,0.03583169840362817,0.5098901098901099,455,45.55384615384615,ШУМ (|t| < 2)
intraday_short,prob_score,-0.0022740004084065976,-0.26940516543486964,-0.01262990896080485,0.4857142857142857,455,45.55384615384615,ШУМ (|t| < 2)
intraday_short,liq_score_n,-0.008583381796835652,-0.9612440420012748,-0.04506381575867444,0.4901098901098901,455,45.55384615384615,ШУМ (|t| < 2)
intraday_short,rs_score,0.007834278724718601,0.7435945296815143,0.03489862046717052,0.4933920704845815,454,45.552863436123346,ШУМ (|t| < 2)
intraday_short,regime_score,,,,,0,,н/д
intraday_short,vol_score,-0.016507778395201168,-1.4692118776858734,-0.09838570436307836,0.47085201793721976,223,45.65022421524664,ШУМ (|t| < 2)
intraday_short,final_score,-0.00804190227823131,-0.9428353939855452,-0.04420080502851688,0.46813186813186813,455,45.55384615384615,ШУМ (|t| < 2)
long_overnight,exp_score,0.05841039534490761,7.422893821975144,0.3479906298230632,0.6527472527472528,455,45.55384615384615,СИЛЬНЫЙ
long_overnight,prob_score,0.027748501625904573,3.567283300522932,0.16723682060912923,0.5714285714285714,455,45.55384615384615,"ЗНАЧИМ, но мал"
long_overnight,liq_score_n,0.025910192922017926,2.792497875485833,0.13091431964081449,0.5604395604395604,455,45.55384615384615,"ЗНАЧИМ, но мал"
long_overnight,rs_score,-0.0371483146484439,-4.298740873944137,-0.20174990570565898,0.3920704845814978,454,45.552863436123346,ИНВЕРСНЫЙ
long_overnight,regime_score,,,,,0,,н/д
long_overnight,vol_score,0.007080464219864781,0.649063465625304,0.04346450448145615,0.5515695067264574,223,45.65022421524664,ШУМ (|t| < 2)
long_overnight,final_score,0.01092181369189913,1.2291324815236373,0.057622619511965775,0.5208791208791209,455,45.55384615384615,ШУМ (|t| < 2)
short_hold,exp_score,0.012886224831220539,1.482654041098839,0.06958440198126076,0.5154185022026432,454,45.563876651982376,ШУМ (|t| < 2)
short_hold,prob_score,0.0031335415669855563,0.3773244785713612,0.01768924439643515,0.4989010989010989,455,45.55384615384615,ШУМ (|t| < 2)
short_hold,liq_score_n,-0.006434370114424439,-0.7164884821746358,-0.03358949813276165,0.4703296703296703,455,45.55384615384615,ШУМ (|t| < 2)
short_hold,rs_score,-0.008238109219569878,-0.7687488758269766,-0.03607917242686059,0.45374449339207046,454,45.552863436123346,ШУМ (|t| < 2)
short_hold,regime_score,,,,,0,,н/д
short_hold,vol_score,-0.01642874138545369,-1.4793248643730341,-0.0990629200414582,0.4260089686098655,223,45.65022421524664,ШУМ (|t| < 2)
short_hold,final_score,-0.01020410810220145,-1.1963198364118814,-0.05608433898250479,0.46373626373626375,455,45.55384615384615,ШУМ (|t| < 2)
