модель,удержание_дн,нейтральный,дней,CAGR_%,Sharpe,PF,MDD_%,WR,альфа_%год,бета
H1,1,True,323,-17.356578904667742,-2.9092170087226847,0.615699420984246,-21.768430771337123,0.42105263157894735,-18.929449150160973,-0.030763595298463477
H1,1,False,323,-37.259014515244424,-2.244391571818521,0.664864300568998,-47.88990607278406,0.4551083591331269,-47.959026138871295,0.2070543137505904
H1,3,True,324,-4.306563635060101,-0.7284699947260419,0.8819880200011064,-10.40853491672361,0.47530864197530864,-1.732498705167941,-0.031075433583529412
H1,3,False,324,-30.39843914279675,-1.7058606217830603,0.7268244965681359,-40.4384368803083,0.5154320987654321,-47.405164218935845,0.22723695258721843
H1,5,True,325,-3.7768907091242476,-0.5666810695744884,0.904569353650003,-7.549338881645951,0.5107692307692308,-1.2076239215918745,-0.03009833389500535
H1,5,False,325,-18.44061214116477,-0.8758876827577031,0.8493473127922951,-33.185645542705004,0.5107692307692308,-27.88103221486807,0.25304515573325853
H1,10,True,325,-0.2218394621052555,-0.0061485444049704276,0.9989708722547075,-7.264372308718448,0.5046153846153846,2.596414279408909,0.03063925604720432
H1,10,False,325,-27.672227945961016,-1.5281761903132833,0.759318786353165,-42.842882624133104,0.48615384615384616,-34.90649594659678,0.2523140995745338
H1,21,True,327,-7.021829600911222,-1.032836794769784,0.8216917667531455,-9.939720588424617,0.47706422018348627,-6.7382367582693705,-0.015529471364179521
H1,21,False,327,-7.539560835937231,-0.2780155963366586,0.9491018525409258,-27.94976628975594,0.5504587155963303,-18.573531332937517,0.27977163500005114
H5,1,True,323,-12.21458327574112,-1.744644145135624,0.7457673452272187,-17.063293831518777,0.43343653250773995,-12.13646535584703,-0.024334901704378943
H5,1,False,323,-27.002999801410567,-1.4126238332011438,0.7723283062360616,-39.934522441561626,0.44272445820433437,-31.170709136237782,0.22976711904828107
H5,3,True,324,-5.634206781896101,-0.8298963505319125,0.8650655844475431,-8.857592726167029,0.49074074074074076,-4.061633373471388,0.0019192522729656251
H5,3,False,324,-26.009683085597413,-1.3919813471247109,0.7715517747904371,-36.263228185526685,0.5092592592592593,-39.68685274014435,0.2371188767369485
H5,5,True,325,-4.272566747619777,-0.6346775531983225,0.8949554937190866,-9.683929450167316,0.48923076923076925,-1.3179268760635405,0.02126666717120549
H5,5,False,325,-18.48276528461914,-0.8521901057163741,0.851753223454554,-35.322294638096196,0.49846153846153846,-27.040409974374224,0.32147683304255315
H5,10,True,325,-4.063094323060145,-0.5656594194994701,0.9023114080533114,-8.137134837336157,0.49230769230769234,-0.8413472976278031,0.02334487312408132
H5,10,False,325,-27.220890977159897,-1.5566965196280338,0.7526631900121064,-43.69823951371675,0.48923076923076925,-31.067907187770565,0.2667883639681516
H5,21,True,327,-2.368005899430925,-0.33739965117421894,0.9416650135484775,-8.363578921502812,0.44954128440366975,-1.5329040166604346,0.02104629642476945
H5,21,False,327,-5.957872476032811,-0.173901220535912,0.9653443442999964,-29.565068413938967,0.5351681957186545,-17.824059664987214,0.3448489170302583
