режим,штрафы,IC,t,CAGR_%,Sharpe,PF,MDD_%,альфа_%год,liq_топ10
heuristic,вкл,0.04465775982537857,2.323461350506478,-4.586704343585901,-0.10455886870863497,0.9805896262393695,-26.00778068232208,-1.2470914594906641,67.3913043478261
heuristic,выкл,0.050836013346923094,2.8109547868015716,-2.8272412632313504,-0.03543584704907102,0.9934075537624021,-25.184169714091443,2.1117742350608286,69.56521739130434
raw_alpha,вкл,0.053302825891047026,2.911899584500019,-7.415173907166062,-0.25524174103004893,0.9522401552894204,-26.766708154837847,-2.1669123557133183,54.34782608695651
raw_alpha,выкл,0.054016838416967985,2.9762057810409512,-9.267343591540945,-0.36058980045757716,0.933850383617852,-27.70415330429049,-6.373513988045189,54.34782608695651
trade_score,вкл,0.050805027624201284,2.81517193868877,-8.047666194489489,-0.33028651147386007,0.9392554787431772,-24.851460999221132,-3.774350423000645,56.52173913043478
trade_score,выкл,0.05115327653694206,2.858992568107826,-5.663312973183954,-0.20656085543600838,0.9617446754194268,-25.247585431232,-2.948866793307799,56.52173913043478
