ema_regime,mean,median,n,std,t_stat
BEAR,-0.12377170839432894,-0.07323929277798791,14958,2.4026568080403505,-6.30037513207513
BULL,-0.3245396820409309,-0.26749143191507896,2065,1.9113471053848579,-7.715929860530668
NEUTRAL,0.03173537599306074,-0.012517211165352649,9409,1.9393711892231085,1.5872832846197116
