state_label,mean,median,n,std,t_stat
BEAR/CRASH,-0.22003606142225923,-0.13214800576645258,6699,1.8499119061988938,-9.735265586471298
BULL,0.04054038589829863,0.029041653546857393,12634,2.583116170000233,1.7640641598839073
FLAT,-0.17026323830148676,-0.13428827215757888,6699,1.7225508510137681,-8.090098820895482
