asof_date,contrib
2025-06-02,0.11519751282014612
2025-06-03,-0.43168547150318143
2025-06-04,-0.9027467459564701
2025-06-05,-0.22987541403820178
2025-06-06,0.2006441409157883
2025-06-07,-0.5143555141736016
2025-06-09,0.04034797430032688
2025-06-10,-0.5855594415096046
2025-06-11,0.02132159500052966
2025-06-13,-0.2060835303934731
2025-06-16,0.7969836501962178
2025-06-17,-0.05625898019853723
2025-06-18,-0.03182083857054624
2025-06-19,0.008421436793984716
2025-06-20,-0.9367298069644073
2025-06-23,0.07666871898905014
2025-06-24,-0.3026560180664918
2025-06-25,0.052429645183525234
2025-06-26,0.23908646192537836
2025-06-27,0.36309278257675737
2025-06-30,-0.5672038647897111
2025-07-01,-0.43083187733750905
2025-07-02,-0.25507869315288956
2025-07-03,-0.32760768840129884
2025-07-04,0.005877150310329524
2025-07-07,-0.2945231472344231
2025-07-08,-0.37947088570252696
2025-07-09,-0.2228298768487707
2025-07-10,-0.3127611429765711
2025-07-11,0.5755249601684258
2025-07-14,-0.2835598553625836
2025-07-15,-0.052822145599270065
2025-07-16,0.4252854271583675
2025-07-17,-0.6522930551191797
2025-07-18,-0.007613698515814504
2025-07-21,-0.11822198839151361
2025-07-22,-0.12049047330330376
2025-07-23,-0.15607581435463083
2025-07-24,-0.3139231180198111
2025-07-25,0.020165646037822192
2025-07-28,-0.3791143707433871
2025-07-29,0.06200665988331561
2025-07-30,-0.29795412022590756
2025-07-31,-0.17311885725467074
2025-08-01,0.23504022749927783
2025-08-04,-0.27198043621628076
2025-08-05,-0.4713116002230312
2025-08-06,-1.1299792650179343
2025-08-07,-1.091255252850543
2025-08-08,-0.9546216088986546
2025-08-11,-0.2102883791205313
2025-08-12,0.3824108896495827
2025-08-13,-0.21217326847085222
2025-08-14,-0.42483532675345353
2025-08-15,0.4188199250597482
2025-08-18,-0.22476677083178745
2025-08-19,-0.3224801737635917
2025-08-20,-0.15508402523867182
2025-08-21,-0.08994895486689952
2025-08-22,-0.07297902632215204
2025-08-25,-0.3646270048325426
2025-08-26,-0.5016325521645221
2025-08-27,0.04127602942501346
2025-08-28,0.29360698093534787
2025-08-29,0.0859999602995847
2025-09-01,-0.34299438127593784
2025-09-02,-0.212367767730769
2025-09-03,-0.31925971466925207
2025-09-04,0.3791438450746369
2025-09-05,-0.09678179712241325
2025-09-08,0.24210667545004466
2025-09-09,0.14492503017905084
2025-09-10,0.0978296485246276
2025-09-11,-0.08574370360761141
2025-09-12,-0.06079448639368354
2025-09-15,0.04984070805667251
2025-09-16,0.44546415740401546
2025-09-17,-0.39234191851218503
2025-09-18,-0.29400718929764813
2025-09-19,-0.4915163995807901
2025-09-22,-0.6204776941223679
2025-09-23,0.3768549181464437
2025-09-24,0.2781682594998822
2025-09-25,-0.061279227405174636
2025-09-26,0.03488014099367432
2025-09-29,0.04612798498584672
2025-09-30,0.6343369908820353
2025-10-01,0.20124671985276982
2025-10-02,0.002028838950990264
2025-10-03,0.27157114449554276
2025-10-06,-0.2960937239304574
2025-10-07,0.3569276792078244
2025-10-08,0.04261377269806954
2025-10-09,-0.08964933348018755
2025-10-10,-0.30617974988383556
2025-10-13,1.0576361211898893
2025-10-14,-0.42977363411275343
2025-10-15,-0.177283342018963
2025-10-16,-0.7793412826909858
2025-10-17,-0.3294001758107272
2025-10-20,-0.2749371991063647
2025-10-21,0.045475273336063826
2025-10-22,-0.04930447338749133
2025-10-23,0.3302775124665722
2025-10-24,-0.014624462140576444
2025-10-27,0.02648890480041033
2025-10-28,0.12168891281880476
2025-10-29,0.2714352618629218
2025-10-30,-0.4469037595225488
2025-10-31,0.018266147623887785
2025-11-01,0.07288852505011045
2025-11-03,-0.9908509683607551
2025-11-05,-0.11646929492720855
2025-11-06,-0.5283670606183277
2025-11-07,-0.15018567748053294
2025-11-10,-0.5062462185133212
2025-11-11,-0.38250244166827047
2025-11-12,-0.09687593791544222
2025-11-13,0.1908724721882732
2025-11-14,-0.06835767852996825
2025-11-17,0.44060173518798884
2025-11-18,-0.36888475990542613
2025-11-19,-0.49780045296742714
2025-11-20,-0.055382234005302566
2025-11-21,0.0033956367909806495
2025-11-24,-0.3755572668036298
2025-11-25,0.04905456664068028
2025-11-26,0.193231563039163
2025-11-27,-0.16857241548089963
2025-11-28,-0.04941387710730148
2025-12-01,0.16765458581109
2025-12-02,-0.3931610196306483
2025-12-03,-0.2183688413893473
2025-12-04,-0.13042126275660038
2025-12-05,0.5860995413976243
2025-12-08,0.32220497728101527
2025-12-09,0.18458052705906228
2025-12-10,-0.12633904403082546
2025-12-11,0.010703989535904901
2025-12-12,-0.18965764073102132
2025-12-15,0.013745481211663968
2025-12-16,-0.05231645544031717
2025-12-17,0.04072828876946272
2025-12-18,0.05212013251525566
2025-12-19,-0.33999550207029433
2025-12-22,0.09912884956985767
2025-12-23,0.2619968256890578
2025-12-24,0.15873280184671237
2025-12-25,-0.1877901809811271
2025-12-26,-0.09421228250034308
2025-12-29,0.3505194723603515
2025-12-30,-0.36961371472622495
2026-01-05,-0.03749376761458062
2026-01-06,-0.28626410191903107
