date,state,state_label,ret,vol
2024-06-10,2,BULL,-1.6301794084482346,0.20932073308139149
2024-06-11,2,BULL,-0.3098219743940742,0.20344537169659707
2024-06-13,2,BULL,0.018603800589396813,0.2453948863691227
2024-06-14,2,BULL,1.3845796992516775,0.244227380069791
2024-06-17,2,BULL,-1.0072605431645782,0.24071295299944934
2024-06-18,2,BULL,-2.2081518610326945,0.21623053479440757
2024-06-19,2,BULL,-2.822895457849527,0.22641008918553474
2024-06-20,2,BULL,3.1204469713163685,0.2555591320742505
2024-06-21,2,BULL,-0.2911294214681752,0.2567129067071138
2024-06-24,2,BULL,-0.5247581419276949,0.24920081625689164
2024-06-25,2,BULL,0.4296690369205972,0.2419090347211982
2024-06-26,2,BULL,1.28724181225302,0.23996767991243872
2024-06-27,2,BULL,-0.043795482148805756,0.1967458315928371
2024-06-28,2,BULL,0.1281587821416514,0.18992766247833848
2024-07-01,2,BULL,1.0040222815895348,0.18909485896879014
2024-07-02,1,FLAT,0.9713544676023512,0.18028452494638103
2024-07-03,0,BEAR/CRASH,-0.4429665393213441,0.1586179255514343
2024-07-04,1,FLAT,-2.1860208202426414,0.11911261045366213
2024-07-05,0,BEAR/CRASH,0.49275139092787146,0.1231536045743177
2024-07-08,1,FLAT,-0.532008443738079,0.12829981665990953
2024-07-09,0,BEAR/CRASH,-2.538181887565836,0.14278257802376662
2024-07-10,2,BULL,-2.597901922757147,0.16636196210702647
2024-07-11,2,BULL,0.5516136749150328,0.18931680022359051
2024-07-12,2,BULL,-0.6370067572133373,0.19872934829301495
2024-07-15,2,BULL,-2.029393426128554,0.2141763104920498
2024-07-16,2,BULL,1.0713034791651,0.22874420970425924
2024-07-17,2,BULL,0.08078614176406462,0.23173554056661716
2024-07-18,2,BULL,1.1262193377545442,0.23352406636087994
2024-07-19,2,BULL,0.9223857570383435,0.2329073070959906
2024-07-22,2,BULL,0.5403823665074394,0.2298455206744064
2024-07-23,2,BULL,0.11466242757783203,0.2199470557604533
2024-07-24,2,BULL,0.7812835291135258,0.20448300233837702
2024-07-25,2,BULL,-0.3410401573695774,0.18194936516618518
2024-07-26,2,BULL,-1.5954999905095746,0.1915499731029644
2024-07-29,2,BULL,-2.924865032558215,0.1866848321391046
2024-07-30,1,FLAT,1.2929689860484297,0.17582810476577454
2024-07-31,0,BEAR/CRASH,-0.07133806731799443,0.1732382390026303
2024-08-01,1,FLAT,-0.23782114070925292,0.1596668233865286
2024-08-02,0,BEAR/CRASH,-1.2576669407111747,0.15843725684044094
2024-08-05,1,FLAT,-2.454153742121973,0.16835495587924146
2024-08-06,0,BEAR/CRASH,0.07173816937132323,0.17383078980168487
2024-08-07,1,FLAT,1.5490110254312037,0.18598757699003815
2024-08-08,0,BEAR/CRASH,-0.7832496021617952,0.18918850905735912
2024-08-09,1,FLAT,-0.14804942361792944,0.1720792152294392
2024-08-12,0,BEAR/CRASH,-0.12365934834884841,0.16224445864994122
2024-08-13,1,FLAT,1.390402144223464,0.15617258876994652
2024-08-14,0,BEAR/CRASH,-0.4687527586069884,0.1579935158507451
2024-08-15,1,FLAT,-1.1560376904566834,0.15857161391367894
2024-08-16,0,BEAR/CRASH,-0.34978707850970564,0.15343193975659625
2024-08-19,1,FLAT,-1.875911565366604,0.14916780519286854
2024-08-20,0,BEAR/CRASH,-0.2604590888858355,0.1501053537926732
2024-08-21,1,FLAT,-0.0101145837935074,0.13599044913924263
2024-08-22,0,BEAR/CRASH,-1.5431994906725437,0.14530948672215493
2024-08-23,2,BULL,-2.34893562379244,0.16550333145442944
2024-08-26,2,BULL,3.7334189823089425,0.17538321481079153
2024-08-27,2,BULL,-1.2147659540061726,0.18905896409735556
2024-08-28,2,BULL,-1.1196428074016238,0.19814319393008253
2024-08-29,2,BULL,0.3065689083441441,0.20123539390698075
2024-08-30,2,BULL,-2.162966723403441,0.22075847730766643
2024-09-02,2,BULL,-4.052223288902377,0.23684173516603982
2024-09-03,2,BULL,-0.8162666513956455,0.2537805762291918
2024-09-04,2,BULL,3.1494767099603513,0.26368395020813684
2024-09-05,2,BULL,0.6302192180794485,0.26252710711802646
2024-09-06,2,BULL,0.06673034895924243,0.2521509619215425
2024-09-09,2,BULL,2.996540760652631,0.2505266473323458
2024-09-10,2,BULL,-1.1829965576630093,0.24745046495309042
2024-09-11,2,BULL,-0.1254820453783654,0.2392732489498653
2024-09-12,2,BULL,-2.00762748510847,0.24177390805751203
2024-09-13,2,BULL,2.417576030252318,0.25022596728773966
2024-09-16,2,BULL,2.4049735685528333,0.23839546390461075
2024-09-17,2,BULL,1.081514789441101,0.22115473928206217
2024-09-18,2,BULL,-0.8074936606514329,0.20987740095307336
2024-09-19,2,BULL,0.26058693955747697,0.20566503271925257
2024-09-20,2,BULL,0.8460220170250844,0.20315896412598736
2024-09-23,2,BULL,1.339489023797705,0.19473244200740777
2024-09-24,2,BULL,1.8303938915749354,0.18919658871663433
2024-09-25,2,BULL,-1.4679143354679731,0.19534510224328083
2024-09-26,2,BULL,-0.016255106259374083,0.19078985613143942
2024-09-27,1,FLAT,1.0164972436224133,0.15756832422708655
2024-09-30,0,BEAR/CRASH,-0.034988768962230764,0.15130607319368644
2024-10-01,1,FLAT,-1.5293637883728028,0.1477457477021143
2024-10-02,0,BEAR/CRASH,-1.6986672503874811,0.16049043780066238
2024-10-03,1,FLAT,0.5622467137759379,0.16346226679346623
2024-10-04,0,BEAR/CRASH,0.7957786834811209,0.16169463060599476
2024-10-07,1,FLAT,-0.38510638007243964,0.1625043876373908
2024-10-08,0,BEAR/CRASH,-0.19597979118551467,0.1559995819839612
2024-10-09,1,FLAT,-1.4289104961815347,0.15042454797191557
2024-10-10,0,BEAR/CRASH,0.4620404383317538,0.14638426593006035
2024-10-11,1,FLAT,-0.2545296385442389,0.14422468885845957
2024-10-14,0,BEAR/CRASH,0.6816382753232462,0.1524074105496579
2024-10-15,1,FLAT,1.1625557746883373,0.15191766461605355
2024-10-16,0,BEAR/CRASH,-0.7990381109090727,0.13969875616235244
2024-10-17,1,FLAT,-0.7185910110125341,0.13263784900366649
2024-10-18,0,BEAR/CRASH,-0.42172658294802434,0.1322441479839564
2024-10-21,1,FLAT,0.5728681279080869,0.12760824298359044
2024-10-22,0,BEAR/CRASH,-0.45338577365560623,0.12894399751781735
2024-10-23,1,FLAT,-0.738056434760728,0.12385940794076368
2024-10-24,0,BEAR/CRASH,-0.6055012219052277,0.12896491356048115
2024-10-25,2,BULL,-2.158937719538307,0.16384104802702373
2024-10-28,2,BULL,-3.25886171669549,0.17536490074428948
2024-10-29,2,BULL,0.9507832430516008,0.18087149854530712
2024-10-30,2,BULL,0.6028735201559521,0.17993600419856226
2024-10-31,2,BULL,-2.132402200731312,0.1833422454964824
2024-11-01,2,BULL,0.5651525974342582,0.1870248247409627
2024-11-02,2,BULL,0.7610660655540976,0.1878199615524866
2024-11-05,2,BULL,0.8493801652550357,0.1870101233064005
2024-11-06,2,BULL,1.7563119794349602,0.19759815906705505
2024-11-07,2,BULL,1.0370878419873573,0.20433957708643627
2024-11-08,2,BULL,1.619517848152878,0.1799408214039553
2024-11-11,1,FLAT,1.8388632359084538,0.1571369472434709
2024-11-12,0,BEAR/CRASH,-1.0303100667199685,0.14753056229003894
2024-11-13,1,FLAT,0.26192108439284595,0.14442371717217314
2024-11-14,0,BEAR/CRASH,-2.436099127427384,0.14507258801024978
2024-11-15,1,FLAT,1.5355260979959282,0.14527285883927316
2024-11-18,0,BEAR/CRASH,-0.6754629178270649,0.15004965047051788
