feature,gain
amihud,508.0467010438442
vol_cc,463.4963062927127
log_adv,387.7847021371126
z_ema200,358.91250524669886
rs_30,347.0922058224678
overnight_mean10,292.2447132989764
atr_pctl,285.88367596268654
z_ema50,282.2043958231807
gk_over_cc,236.13554640114307
pk_over_cc,222.67934057116508
intraday_mean10,200.37518100440502
rs_10,185.446662068367
rs_3,184.12058754265308
ret_5,168.45725302398205
vol_imbalance,130.93659498542547
vol_z,124.48367924243212
ret_1,82.60776998102665
