asof_date,contrib
2025-05-02,-0.5344092889204822
2025-05-03,-0.5558421881352253
2025-05-04,1.9088362498169347
2025-05-05,0.572113727057319
2025-05-06,-1.6591581804551367
2025-05-07,-0.5996651924759444
2025-05-08,-0.14064553605705088
2025-05-10,-0.05454412418775638
2025-05-11,-0.6226907612316729
2025-05-12,0.6430014715824275
2025-05-13,-0.45620603227495615
2025-05-14,-0.22114162053735914
2025-05-15,0.43484114115141115
2025-05-16,-1.2913871936378254
2025-05-17,-0.35552406980408313
2025-05-18,1.5166778797761356
2025-05-19,1.7693698622839298
2025-05-20,1.1861547977231608
2025-05-21,0.7008798962105605
2025-05-22,0.3013773697209234
2025-05-23,2.617068317391415
2025-05-26,-1.0680943633330136
2025-05-27,-2.506206806831009
2025-05-28,1.3820796512525095
2025-05-29,-1.2541139262212169
2025-05-30,-0.22012860988136876
2025-05-31,1.7476372932709467
2025-06-01,-2.563493401449879
2025-06-02,-2.5341220626075884
2025-06-03,-0.09241592347519798
2025-06-04,-0.8245899369794428
2025-06-05,1.7708569864405541
2025-06-06,-0.3240878052365338
2025-06-07,0.13555370101294922
2025-06-08,0.876380225444911
2025-06-09,1.0067014209314364
2025-06-10,-0.5338020137131347
2025-06-11,-0.5064199071365227
2025-06-13,-0.5565278310958977
2025-06-14,-0.05745619532756572
2025-06-15,1.2324858909231673
2025-06-16,-2.0602749979692305
2025-06-17,-0.22086529539096464
2025-06-18,0.34384711438352167
2025-06-19,0.36005802954597704
2025-06-20,1.2758703774664168
2025-06-23,-0.9543254953107001
2025-06-24,-0.13686215255491402
2025-06-25,-0.35776938443132755
2025-06-26,-0.7424755021917019
2025-06-27,-0.08981707398086863
2025-06-28,0.029280795971269716
2025-06-29,-2.139451964820809
2025-06-30,-0.046459032383945345
2025-07-01,0.531316751720805
2025-07-02,0.27039529286184394
2025-07-03,0.5116078634694329
2025-07-04,-0.1003592188236754
2025-07-05,-0.12138918379728467
2025-07-06,1.2582556800459404
2025-07-07,1.096089848230164
2025-07-08,0.05914403645358787
2025-07-09,-0.2794845259215188
2025-07-10,2.747542031865634
2025-07-11,-0.34882688274121987
2025-07-12,0.24853338896829047
2025-07-13,-5.21792590162537
2025-07-14,-0.4979520384200559
2025-07-15,-0.6610700109040893
2025-07-16,0.2997675354423497
2025-07-17,-2.831255550237331
2025-07-18,-0.9417525854595106
2025-07-19,0.04272309863058933
2025-07-20,0.02661562924319736
2025-07-21,-0.5375369981872017
2025-07-22,-0.063496996080806
2025-07-23,0.46324117516068813
2025-07-24,2.045563147513371
2025-07-25,0.04549951967923256
2025-07-26,0.087211474863621
2025-07-27,1.8942867355184958
2025-07-28,-0.7984082469206386
2025-07-29,0.8088639350635057
