вариант,IC,t,CAGR_%,Sharpe,PF,MDD_%,альфа_%год,liq_топ10
сырая альфа (exp_pnl) — без штрафов,0.054016838416967985,2.9762057810409512,-6.572037356856953,-0.22186642116993185,0.9589194589931399,-26.454966221621177,-2.478676171126647,54.34782608695651
сырая альфа (exp_pnl) — риск-штрафы,0.053082115528052386,2.9309198913813574,-8.815148790621574,-0.3305209787255711,0.9382571572828662,-28.8815375404744,-3.722448412131322,54.34782608695651
сырая альфа (exp_pnl) — риск+режим,0.053302825891047026,2.911899584500019,-5.6680894646975455,-0.16428460439910314,0.9690613252645357,-26.537734757987042,0.21554414185949244,54.34782608695651
эвристика 70/20/10 — без штрафов,0.050836013346923094,2.8109547868015716,-2.8272412632313504,-0.03543584704907102,0.9934075537624021,-25.184169714091443,2.1117742350608286,69.56521739130434
эвристика 70/20/10 — риск-штрафы,0.048223026070958436,2.733587326300257,-7.312237230568863,-0.2574668091022459,0.9518359417859894,-29.997546480428294,-2.8174763824791706,67.3913043478261
эвристика 70/20/10 — риск+режим,0.04465775982537857,2.323461350506478,-4.586704343585901,-0.10455886870863497,0.9805896262393695,-26.00778068232208,-1.2470914594906641,67.3913043478261
TradeScore / ATR% — без штрафов,0.05115327653694206,2.858992568107826,-7.267223998688877,-0.29330082966588544,0.9460799344584582,-23.751583305741654,-5.2485097258698925,56.52173913043478
TradeScore / ATR% — риск-штрафы,0.050355806941016615,2.8199967881069425,-10.472436819513685,-0.46570437388360353,0.9152656621944365,-27.927220269478635,-7.233259224947078,56.52173913043478
TradeScore / ATR% — риск+режим,0.050805027624201284,2.81517193868877,-8.385134031721398,-0.3450351550413209,0.9366709794047732,-24.58627650937919,-4.286183913778611,56.52173913043478
