root,d,old,new,days_to_exp_old,backward,basis_pct
GL,2025-06-20,GLM5,GLU5,-1,False,5.9204
GL,2025-09-18,GLU5,GLZ5,0,False,4.7365
GL,2025-12-18,GLZ5,GLH6,0,False,4.5417
GL,2026-03-19,GLH6,GLM6,0,False,2.8335
GL,2026-06-22,GLM6,GLU6,-3,False,
MX,2022-03-29,MXH2,MXM2,0,False,1.4681
MX,2022-06-17,MXM2,MXU2,-1,False,-2.3143
MX,2022-09-16,MXU2,MXZ2,-1,False,-5.1154
MX,2022-12-16,MXZ2,MXH3,-1,False,-1.0224
MX,2023-03-17,MXH3,MXM3,-1,False,1.7497
MX,2023-06-16,MXM3,MXU3,-1,False,-0.3308
MX,2023-09-22,MXU3,MXZ3,-1,False,0.8663
MX,2023-12-22,MXZ3,MXH4,-1,False,3.8261
MX,2024-03-21,MXH4,MXM4,0,False,1.5827
MX,2024-06-21,MXM4,MXU4,-1,False,3.7004
MX,2024-09-20,MXU4,MXZ4,-1,False,4.4366
MX,2024-12-20,MXZ4,MXH5,-1,False,4.1917
MX,2025-03-21,MXH5,MXM5,-1,False,6.1483
MX,2025-06-20,MXM5,MXU5,-1,False,2.6009
MX,2025-09-19,MXU5,MXZ5,-1,False,3.8689
MX,2025-12-19,MXZ5,MXH6,-1,False,3.0569
MX,2026-03-20,MXH6,MXM6,-1,False,2.7744
MX,2026-06-19,MXM6,MXU6,0,False,0.6687
NG,2022-01-28,NGF2,NGG2,-1,False,2.2913
NG,2022-02-25,NGG2,NGH2,-1,False,0.0216
NG,2022-03-29,NGH2,NGJ2,0,False,-1.6235
NG,2022-04-28,NGJ2,NGK2,-1,False,3.5912
NG,2022-05-27,NGK2,NGM2,-1,False,0.2118
NG,2022-06-29,NGM2,NGN2,-1,False,4.0000
NG,2022-07-28,NGN2,NGQ2,-1,False,-4.8699
NG,2022-08-30,NGQ2,NGU2,-1,False,-0.6670
NG,2022-09-28,NGU2,NGV2,0,False,6.1043
NG,2022-10-27,NGV2,NGX2,0,False,12.7386
NG,2022-11-29,NGX2,NGZ2,-1,False,4.7131
NG,2022-12-28,NGZ2,NGF3,0,False,2.1406
NG,2023-01-27,NGF3,NGG3,0,False,4.9949
NG,2023-02-27,NGG3,NGH3,-3,False,15.8236
NG,2023-03-29,NGH3,NGJ3,0,False,12.1242
NG,2023-04-27,NGJ3,NGK3,-1,False,4.1631
NG,2023-05-26,NGK3,NGM3,0,False,8.9766
NG,2023-06-28,NGM3,NGN3,0,False,2.1354
NG,2023-07-27,NGN3,NGQ3,0,False,1.8755
NG,2023-08-30,NGQ3,NGU3,-1,False,4.9263
NG,2023-09-27,NGU3,NGV3,0,False,8.2455
NG,2023-10-30,NGV3,NGX3,-3,False,7.9029
NG,2023-11-29,NGX3,NGZ3,-1,False,2.7549
NG,2023-12-27,NGZ3,NGF4,0,False,-3.2157
NG,2024-01-30,NGF4,NGG4,-1,False,-22.6318
NG,2024-02-27,NGG4,NGH4,0,False,7.4186
NG,2024-03-27,NGH4,NGJ4,-1,False,12.0198
NG,2024-04-27,NGJ4,NGK4,-1,False,18.2040
NG,2024-05-29,NGK4,NGM4,0,False,9.0382
NG,2024-06-26,NGM4,NGN4,0,False,3.9173
NG,2024-07-30,NGN4,NGQ4,-1,False,3.7406
NG,2024-08-29,NGQ4,NGU4,-1,False,11.9285
NG,2024-09-27,NGU4,NGV4,-1,False,4.7041
NG,2024-10-30,NGV4,NGX4,-1,False,25.8120
NG,2024-11-26,NGX4,NGZ4,0,False,1.6919
NG,2024-12-28,NGZ4,NGF5,-1,False,-8.5061
NG,2025-01-29,NGF5,NGG5,0,False,-10.1124
NG,2025-02-26,NGG5,NGH5,0,False,-2.2046
NG,2025-03-27,NGH5,NGJ5,0,False,0.2335
NG,2025-04-29,NGJ5,NGK5,-1,False,13.7262
NG,2025-05-28,NGK5,NGM5,0,False,10.3296
NG,2025-06-26,NGM5,NGN5,0,False,6.0775
NG,2025-07-29,NGN5,NGQ5,0,False,4.6169
NG,2025-08-27,NGQ5,NGU5,0,False,4.6024
NG,2025-09-26,NGU5,NGV5,0,False,11.3981
NG,2025-10-29,NGV5,NGX5,0,False,14.4096
NG,2025-11-25,NGX5,NGZ5,0,False,2.1323
NG,2025-12-27,NGZ5,NGF6,2,False,-11.2231
NG,2026-01-28,NGF6,NGG6,0,False,-45.3134
NG,2026-02-25,NGG6,NGH6,0,False,-1.4751
NG,2026-03-27,NGH6,NGJ6,3,False,0.5337
NG,2026-04-28,NGJ6,NGK6,1,False,8.6633
NG,2026-05-27,NGK6,NGM6,1,False,4.5957
NG,2026-06-26,NGM6,NGN6,3,False,-1.9144
NG,2026-07-29,NGN6,NGQ6,1,False,1.2768
NG,2026-08-27,NGQ6,NGU6,1,False,2.3231
Si,2022-03-18,SiH2,SiM2,-1,False,4.4783
Si,2022-06-17,SiM2,SiU2,-1,False,7.8555
Si,2022-09-16,SiU2,SiZ2,-1,False,4.3577
Si,2022-12-16,SiZ2,SiH3,-1,False,1.2304
Si,2023-03-17,SiH3,SiM3,-1,False,-0.6274
Si,2023-06-16,SiM3,SiU3,-1,False,-0.6116
Si,2023-09-22,SiU3,SiZ3,-1,False,-0.9749
Si,2023-12-22,SiZ3,SiH4,-1,False,0.2293
Si,2024-03-22,SiH4,SiM4,-1,False,3.1795
Si,2024-06-21,SiM4,SiU4,-1,False,6.0456
Si,2024-09-20,SiU4,SiZ4,-1,False,-1.3465
Si,2024-12-20,SiZ4,SiH5,-1,False,2.7354
Si,2025-03-21,SiH5,SiM5,-1,False,5.6844
Si,2025-06-20,SiM5,SiU5,-1,False,5.4222
Si,2025-09-18,SiU5,SiZ5,0,False,4.3801
Si,2025-12-19,SiZ5,SiH6,-1,False,4.0110
Si,2026-03-19,SiH6,SiM6,0,False,-0.4194
Si,2026-06-19,SiM6,SiU6,0,False,2.6378
